Gene stable ID,Gene name,Human gene stable ID,Human gene name
ENSPMRG00000000002,LRFN5,ENSG00000165379,LRFN5
ENSPMRG00000000003,,,
ENSPMRG00000000004,,,
ENSPMRG00000000005,,,
ENSPMRG00000000006,CWF19L1,ENSG00000095485,CWF19L1
ENSPMRG00000000007,ERLIN1,ENSG00000107566,ERLIN1
ENSPMRG00000000008,TUBGCP2,ENSG00000130640,TUBGCP2
ENSPMRG00000000009,ZNF511,ENSG00000198546,ZNF511
ENSPMRG00000000010,CYB561,ENSG00000008283,CYB561
ENSPMRG00000000011,TMX1,ENSG00000139921,TMX1
ENSPMRG00000000012,KLHL28,ENSG00000179454,KLHL28
ENSPMRG00000000013,TOGARAM1,ENSG00000198718,TOGARAM1
ENSPMRG00000000014,,,
ENSPMRG00000000015,RGS3,ENSG00000138835,RGS3
ENSPMRG00000000016,PRPF39,ENSG00000185246,PRPF39
ENSPMRG00000000017,,ENSG00000239043,SNORD127
ENSPMRG00000000018,FKBP3,ENSG00000100442,FKBP3
ENSPMRG00000000019,,ENSG00000187790,FANCM
ENSPMRG00000000020,,,
ENSPMRG00000000021,MDGA2,ENSG00000139915,MDGA2
ENSPMRG00000000022,,ENSG00000143256,PFDN2
ENSPMRG00000000023,,ENSG00000143256,PFDN2
ENSPMRG00000000024,,ENSG00000168509,HJV
ENSPMRG00000000025,,,
ENSPMRG00000000026,Metazoa_SRP,,
ENSPMRG00000000027,,,
ENSPMRG00000000028,RPS29,ENSG00000213741,RPS29
ENSPMRG00000000029,Metazoa_SRP,,
ENSPMRG00000000030,LRR1,ENSG00000165501,LRR1
ENSPMRG00000000031,MGAT2,ENSG00000168282,MGAT2
ENSPMRG00000000032,DNAAF2,ENSG00000165506,DNAAF2
ENSPMRG00000000033,POLE2,ENSG00000100479,POLE2
ENSPMRG00000000034,,,
ENSPMRG00000000035,KLHDC1,ENSG00000197776,KLHDC1
ENSPMRG00000000036,KLHDC2,ENSG00000165516,KLHDC2
ENSPMRG00000000037,NEMF,ENSG00000165525,NEMF
ENSPMRG00000000038,ARF6,ENSG00000165527,ARF6
ENSPMRG00000000039,VCPKMT,ENSG00000100483,VCPKMT
ENSPMRG00000000040,SOS2,ENSG00000100485,SOS2
ENSPMRG00000000041,CDKL1,ENSG00000100490,CDKL1
ENSPMRG00000000042,MAP4K5,ENSG00000012983,MAP4K5
ENSPMRG00000000043,,,
ENSPMRG00000000044,,,
ENSPMRG00000000045,UNC79,ENSG00000133958,UNC79
ENSPMRG00000000046,KLC1,ENSG00000126214,KLC1
ENSPMRG00000000047,COA8,ENSG00000256053,COA8
ENSPMRG00000000048,BAG5,ENSG00000166170,BAG5
ENSPMRG00000000049,,,
ENSPMRG00000000050,TRMT61A,ENSG00000166166,TRMT61A
ENSPMRG00000000051,CKB,ENSG00000166165,CKB
ENSPMRG00000000052,,,
ENSPMRG00000000053,BTBD7,ENSG00000011114,BTBD7
ENSPMRG00000000054,,,
ENSPMRG00000000055,MARK3,ENSG00000075413,MARK3
ENSPMRG00000000056,UBR7,ENSG00000012963,UBR7
ENSPMRG00000000057,GON7,ENSG00000170270,GON7
ENSPMRG00000000058,,ENSG00000153485,LYSET
ENSPMRG00000000059,EIF5,ENSG00000100664,EIF5
ENSPMRG00000000060,ITPK1,ENSG00000100605,ITPK1
ENSPMRG00000000061,SNORA28,ENSG00000272533,SNORA28
ENSPMRG00000000062,U2,ENSG00000222612,RNU2-52P
ENSPMRG00000000062,U2,ENSG00000222076,RNU2-3P
ENSPMRG00000000062,U2,ENSG00000222973,RNU2-25P
ENSPMRG00000000062,U2,ENSG00000222414,RNU2-59P
ENSPMRG00000000063,TNFAIP2,ENSG00000185215,TNFAIP2
ENSPMRG00000000064,CHGA,ENSG00000100604,CHGA
ENSPMRG00000000065,,,
ENSPMRG00000000066,GOLGA5,ENSG00000066455,GOLGA5
ENSPMRG00000000067,ATL1,ENSG00000198513,ATL1
ENSPMRG00000000068,SAV1,ENSG00000151748,SAV1
ENSPMRG00000000069,LGMN,ENSG00000100600,LGMN
ENSPMRG00000000070,Metazoa_SRP,,
ENSPMRG00000000071,CDC42BPB,ENSG00000198752,CDC42BPB
ENSPMRG00000000072,,,
ENSPMRG00000000073,RIN3,ENSG00000100599,RIN3
ENSPMRG00000000074,SLC24A4,ENSG00000140090,SLC24A4
ENSPMRG00000000075,NIN,ENSG00000100503,NIN
ENSPMRG00000000076,CPSF2,ENSG00000165934,CPSF2
ENSPMRG00000000077,,,
ENSPMRG00000000078,,,
ENSPMRG00000000079,NDUFB1,ENSG00000183648,NDUFB1
ENSPMRG00000000080,,ENSG00000066427,ATXN3
ENSPMRG00000000080,,ENSG00000123594,ATXN3L
ENSPMRG00000000081,,ENSG00000153774,CFDP1
ENSPMRG00000000082,TRAF3,ENSG00000131323,TRAF3
ENSPMRG00000000083,,ENSG00000131969,ABHD12B
ENSPMRG00000000084,RCOR1,ENSG00000089902,RCOR1
ENSPMRG00000000085,,,
ENSPMRG00000000086,ANKRD9,ENSG00000156381,ANKRD9
ENSPMRG00000000087,TRIP11,ENSG00000100815,TRIP11
ENSPMRG00000000088,PYGL,ENSG00000100504,PYGL
ENSPMRG00000000089,Vault,,
ENSPMRG00000000090,CYP2R1,ENSG00000186104,CYP2R1
ENSPMRG00000000091,DLL4,ENSG00000128917,DLL4
ENSPMRG00000000092,,ENSG00000115946,PNO1
ENSPMRG00000000093,ARL14EP,ENSG00000152219,ARL14EP
ENSPMRG00000000094,FBLN5,ENSG00000140092,FBLN5
ENSPMRG00000000095,,,
ENSPMRG00000000096,ACVR2A,ENSG00000121989,ACVR2A
ENSPMRG00000000097,PDIA5,ENSG00000065485,PDIA5
ENSPMRG00000000098,FASTKD1,ENSG00000138399,FASTKD1
ENSPMRG00000000099,,ENSG00000105819,PMPCB
ENSPMRG00000000100,CHRNA1,ENSG00000138435,CHRNA1
ENSPMRG00000000101,CALCB,ENSG00000175868,CALCB
ENSPMRG00000000102,,,
ENSPMRG00000000103,,,
ENSPMRG00000000104,TTC17,ENSG00000052841,TTC17
ENSPMRG00000000105,DRD4,ENSG00000069696,DRD4
ENSPMRG00000000106,CHAC1,ENSG00000128965,CHAC1
